"type","group","key","context","ru","kk","en"
"data","specialty.description","6B05202","группа B051","Охрана окружающей среды и рациональное природопользование","Қоршаған ортаны қорғау және табиғатты тиімді пайдалану","Environmental protection and sustainable natural resource use"
"data","specialty.name","6B05203","группа B052","География и природопользование","География және табиғатты пайдалану","Geography and Natural Resource Management"
"data","specialty.description","6B05203","группа B052","Изучение природных ресурсов и географических систем","Табиғи ресурстарды және географиялық жүйелерді зерттеу","Study of natural resources and geographic systems"
"data","specialty.name","6B05307","группа B053","Химическая экспертиза и аналитический контроль производства (KZ)","Химиялық сараптама және өндірісті аналитикалық бақылау (KZ)","Chemical Expertise and Analytical Production Control (KZ)"
"data","specialty.description","6B05307","группа B053","Контроль качества продукции и химический анализ","Өнім сапасын бақылау және химиялық талдау","Product quality control and chemical analysis"
"data","specialty.name","6B05308","группа B054","Астрономия и методы дистанционных исследований (KZ)","Астрономия және қашықтан зерттеу әдістері (KZ)","Astronomy and Remote Sensing Methods (KZ)"
"data","specialty.description","6B05308","группа B054","Астрономия и методы зондирования Земли","Астрономия және Жерді қашықтан зондтау әдістері","Astronomy and Earth remote sensing methods"
"data","specialty.name","6B06102","группа B057","Информационные системы","Ақпараттық жүйелер","Information Systems"
"data","specialty.description","6B06102","группа B057","Проектирование и эксплуатация информационных систем","Ақпараттық жүйелерді жобалау және пайдалану","Design and operation of information systems"
"data","specialty.name","6B06106","группа B057","Информационные системы в управлении (KZ)","Басқарудағы ақпараттық жүйелер (KZ)","Information Systems in Management (KZ)"
"data","specialty.description","6B06106","группа B057","ИТ-решения для управления бизнес-структурами","Бизнес-құрылымдарды басқаруға арналған АТ шешімдері","IT solutions for business management"
"data","specialty.name","6B06111","группа B057","Информационные системы в управлении (KZ-US)","Басқарудағы ақпараттық жүйелер (KZ-US)","Information Systems in Management (KZ-US)"
"data","specialty.description","6B06111","группа B057","Двойной диплом Казахстан-США: информационные системы","Қазақстан-АҚШ қос дипломы: ақпараттық жүйелер","Kazakhstan-USA double-degree: information systems"
"data","specialty.name","6B06201","группа B059","Радиотехника, электроника и телекоммуникации","Радиотехника, электроника және телекоммуникациялар","Radio Engineering, Electronics and Telecommunications"
"data","specialty.description","6B06201","группа B059","Системы связи, радиопередача и электроника","Байланыс жүйелері, радио хабар тарату және электроника","Communication systems, radio broadcasting and electronics"
"data","specialty.name","6B06203","группа B059","Электроника и телекоммуникации (KZ)","Электроника және телекоммуникациялар (KZ)","Electronics and Telecommunications (KZ)"
"data","specialty.description","6B06203","группа B059","Разработка электронных устройств и сетей связи","Электрондық құрылғыларды және байланыс желілерін әзірлеу","Development of electronic devices and communication networks"
"data","specialty.name","6B07103","группа B062","Электроэнергетика","Электр энергетикасы","Electric Power Engineering"
"data","specialty.description","6B07103","группа B062","Генерация, передача и распределение электроэнергии","Электр энергиясын өндіру, беру және тарату","Generation, transmission and distribution of electric power"
"data","specialty.name","6B07109","группа B063","Робототехнические и интеллектуальные системы","Робототехникалық және интеллектуалды жүйелер","Robotic and Intelligent Systems"
"data","specialty.description","6B07109","группа B063","Разработка автономных роботов и ИИ-систем","Автономды роботтар мен ЖИ жүйелерін әзірлеу","Development of autonomous robots and AI systems"
"data","specialty.name","6B07106","группа B064","Робототехнические, интеллектуальные системы и приборостроение","Робототехникалық, интеллектуалды жүйелер және аспап жасау","Robotics, Intelligent Systems and Instrument Engineering"
"data","specialty.description","6B07106","группа B064","Проектирование приборов и роботов","Аспаптар мен роботтарды жобалау","Design of instruments and robots"
"data","specialty.name","6B07108","группа B064","Робототехника и инновационные технологии в машиностроении","Машина жасаудағы робототехника және инновациялық технологиялар","Robotics and Innovative Technologies in Mechanical Engineering"
"data","specialty.description","6B07108","группа B064","Автоматизация машиностроительных производств","Машина жасау өндірісін автоматтандыру","Automation of mechanical engineering production"
"data","specialty.name","6B07105","группа B065","Транспорт, транспортная техника и технологии","Көлік, көлік техникасы және технологиялары","Transport, Transport Equipment and Technologies"
"data","specialty.description","6B07105","группа B065","Эксплуатация и ремонт транспортных средств","Көлік құралдарын пайдалану және жөндеу","Operation and maintenance of vehicles"
"data","specialty.name","6B07107","группа B065","Техническая эксплуатация, обслуживание и ремонт вагонов","Вагондарды техникалық пайдалану, қызмет көрсету және жөндеу","Technical Operation, Maintenance and Repair of Railway Cars"
"data","specialty.description","6B07107","группа B065","Обслуживание железнодорожного подвижного состава","Теміржол жылжымалы құрамына қызмет көрсету","Maintenance of railway rolling stock"
"data","specialty.name","6B07201","группа B068","Технология продовольственных продуктов","Азық-түлік өнімдерінің технологиясы","Food Technology"
"data","specialty.description","6B07201","группа B068","Производство и безопасность продуктов питания","Тамақ өнімдерін өндіру және қауіпсіздігі","Food production and safety"
"data","specialty.name","6B07301","группа B074","Строительство","Құрылыс","Construction"
"data","specialty.description","6B07301","группа B074","Промышленное и гражданское строительство","Өнеркәсіптік және азаматтық құрылыс","Industrial and civil construction"
"data","specialty.name","6B07302","группа B074","Проектирование и информационное моделирование объектов строительства","Құрылыс объектілерін жобалау және ақпараттық модельдеу","Design and Information Modeling of Construction Objects"
"data","specialty.description","6B07302","группа B074","Цифровое проектирование и BIM-моделирование","Цифрлық жобалау және BIM-модельдеу","Digital design and BIM modeling"
"data","specialty.name","6B07504","группа B076","Инжиниринг и инновационно-измерительные технологии","Инжиниринг және инновациялық-өлшеу технологиялары","Engineering and Innovative Measurement Technologies"
"data","specialty.description","6B07504","группа B076","Метрология, стандартизация и измерительная техника","Метрология, стандарттау және өлшеу техникасы","Metrology, standardization and measurement technology"
"data","specialty.name","6B08101","группа B077","Агрономия","Агрономия","Agronomy"
"data","specialty.description","6B08101","группа B077","Технологии возделывания сельскохозяйственных культур","Ауыл шаруашылығы дақылдарын өсіру технологиялары","Technologies for cultivating agricultural crops"
"data","specialty.name","6B08104","группа B077","Наука о растениях и технологии (KZ)","Өсімдіктану ғылымы және технологиялары (KZ)","Plant Science and Technology (KZ)"
"data","specialty.description","6B08104","группа B077","Инновационные методы в растениеводстве","Өсімдік шаруашылығындағы инновациялық әдістер","Innovative methods in crop production"
"data","specialty.name","6B08201","группа B078","Технология производства продуктов животноводства","Мал шаруашылығы өнімдерін өндіру технологиясы","Animal Husbandry Production Technology"
"data","specialty.description","6B08201","группа B078","Разведение скота и переработка продукции","Мал өсіру және өнімді өңдеу","Livestock breeding and product processing"
"data","specialty.name","6B08301","группа B079","Лесные ресурсы и лесоводство","Орман ресурстары және орман шаруашылығы","Forest Resources and Forestry"
"data","specialty.description","6B08301","группа B079","Охрана и воспроизводство лесных массивов","Орман алқаптарын қорғау және молайту","Forest conservation and reforestation"
"data","specialty.name","6B11102","группа B091","Туризм","Туризм","Tourism"
"data","specialty.description","6B11102","группа B091","Организация туристических услуг и маршрутов","Туристік қызметтер мен бағыттарды ұйымдастыру","Organization of tourism services and routes"
"data","specialty.name","6B11101","группа B092","Культурно-досуговая работа","Мәдени-демалыс жұмысы","Cultural and Leisure Activities"
"data","specialty.description","6B11101","группа B092","Организация культурных и праздничных мероприятий","Мәдени және мерекелік іс-шараларды ұйымдастыру","Organization of cultural and festive events"
"data","item_comb","Биология + География","комбинация предметов ЕНТ","Биология + География","Биология + География","Biology + Geography"
"data","item_comb","Творческий экзамен","комбинация предметов ЕНТ","Творческий экзамен","Шығармашылық емтихан","Creative Exam"
"data","item_comb","Математика + Физика","комбинация предметов ЕНТ","Математика + Физика","Математика + Физика","Mathematics + Physics"
"data","item_comb","Математика + Информатика","комбинация предметов ЕНТ","Математика + Информатика","Математика + Информатика","Mathematics + Computer Science"
"data","item_comb","Биология + Химия","комбинация предметов ЕНТ","Биология + Химия","Биология + Химия","Biology + Chemistry"
"data","item_comb","Всемирная история + География","комбинация предметов ЕНТ","Всемирная история + География","Дүниежүзі тарихы + География","World History + Geography"
"data","item_comb","Казахский язык + Литература","комбинация предметов ЕНТ","Казахский язык + Литература","Қазақ тілі + Әдебиет","Kazakh Language + Literature"
"data","item_comb","Русский язык + Литература","комбинация предметов ЕНТ","Русский язык + Литература","Орыс тілі + Әдебиет","Russian Language + Literature"
"data","item_comb","Иностранный язык + Всемирная история","комбинация предметов ЕНТ","Иностранный язык + Всемирная история","Шетел тілі + Дүниежүзі тарихы","Foreign Language + World History"
"data","item_comb","Математика + География","комбинация предметов ЕНТ","Математика + География","Математика + География","Mathematics + Geography"
"data","item_comb","Всемирная история + Основы права","комбинация предметов ЕНТ","Всемирная история + Основы права","Дүниежүзі тарихы + Құқық негіздері","World History + Basics of Law"
"data","item_comb","География + Иностранный язык","комбинация предметов ЕНТ","География + Иностранный язык","География + Шетел тілі","Geography + Foreign Language"
"interface","header","header.logoAlt","шапка страницы","Kozybayev University","Қозыбаев Университеті","Kozybayev University"
"interface","header","header.title","шапка страницы","AI-Ассистент абитуриента — Козыбаев","AI-ассистент талапкерге — Қозыбаев","AI Assistant for Applicants — Kozybayev"
"interface","header","header.description","шапка страницы","Рассчитайте вероятность поступления на грант в СКУ им. М. Козыбаева","М. Қозыбаев атындағы СҚУ-да грантқа түсу ықтималдығын есептеңіз","Calculate the probability of winning a state grant at M. Kozybayev University"
"interface","languageSwitcher","languageSwitcher.ru","переключатель языков","Русский","Русский","Русский"
"interface","languageSwitcher","languageSwitcher.kk","переключатель языков","Қазақша","Қазақша","Қазақша"
"interface","languageSwitcher","languageSwitcher.en","переключатель языков","English","English","English"
"interface","languageSwitcher","languageSwitcher.ariaLabel","переключатель языков","Выбор языка","Тілді таңдау","Language selection"
"interface","calculator","calculator.title","форма калькулятора","Калькулятор гранта","Грант калькуляторы","Grant Calculator"
"interface","calculator","calculator.subtitle","форма калькулятора","СКУ им. М. Козыбаева","М. Қозыбаев атындағы СҚУ","M. Kozybayev University"
"interface","calculator","calculator.entScore","форма калькулятора","Балл ЕНТ","ҰБТ балы","UNT score"
"interface","calculator","calculator.entScorePlaceholder","форма калькулятора","Например: 95","Мысалы: 95","For example: 95"
"interface","calculator","calculator.subject1","форма калькулятора","Первый профильный предмет","Бірінші бейіндік пән","First profile subject"
"interface","calculator","calculator.subject2","форма калькулятора","Второй профильный предмет","Екінші бейіндік пән","Second profile subject"
"interface","calculator","calculator.pickSubject","форма калькулятора","— Выберите предмет —","— Пәнді таңдаңыз —","— Pick a subject —"
"interface","calculator","calculator.pickSubject2","форма калькулятора","— Выберите второй предмет —","— Екінші пәнді таңдаңыз —","— Pick the second subject —"
"interface","calculator","calculator.pickFirstFirst","форма калькулятора","Сначала выберите первый","Алдымен бірінші пәнді таңдаңыз","Pick the first one first"
"interface","calculator","calculator.available","форма калькулятора","Доступно {{count}} вариантов для предмета «{{subject}}»","«{{subject}}» пәніне {{count}} нұсқа қолжетімді","{{count}} options available for «{{subject}}»"
"interface","calculator","calculator.pair","форма калькулятора","Связка: {{comb}}","Тіркесім: {{comb}}","Combination: {{comb}}"
"interface","calculator","calculator.quota","форма калькулятора","Квота поступления","Түсу квотасы","Admission quota"
"interface","calculator","calculator.quotaPercent","форма калькулятора","{{percent}}% грантов по этой квоте","Бұл квота бойынша гранттардың {{percent}}%-ы","{{percent}}% of grants go through this quota"
"interface","calculator","calculator.submit","форма калькулятора","Рассчитать вероятность","Ықтималдықты есептеу","Calculate probability"
"interface","calculator","calculator.loading","форма калькулятора","Загрузка...","Жүктелуде...","Loading..."
"interface","calculator","calculator.errors.score","форма калькулятора","Введите корректный балл ЕНТ от 0 до 140","0-ден 140-қа дейінгі ҰБТ балын дұрыс енгізіңіз","Enter a valid UNT score from 0 to 140"
"interface","calculator","calculator.errors.sub1","форма калькулятора","Выберите первый профильный предмет","Бірінші бейіндік пәнді таңдаңыз","Pick the first profile subject"
"interface","calculator","calculator.errors.sub2","форма калькулятора","Выберите второй профильный предмет","Екінші бейіндік пәнді таңдаңыз","Pick the second profile subject"
"interface","calculator","calculator.errors.pair","форма калькулятора","Выбранная комбинация предметов недопустима","Таңдалған пәндер тіркесіміне рұқсат жоқ","The chosen subject combination is not allowed"
"interface","calculator","calculator.errors.server","форма калькулятора","Ошибка сервера: {{message}}. Проверьте, запущен ли бэкенд.","Сервер қатесі: {{message}}. Бэкенд жұмыс істеп тұрғанын тексеріңіз.","Server error: {{message}}. Make sure the backend is running."
"interface","subjects","subjects.Биология","названия профильных предметов ЕНТ","Биология","Биология","Biology"
"interface","subjects","subjects.География","названия профильных предметов ЕНТ","География","География","Geography"
"interface","subjects","subjects.Всемирная история","названия профильных предметов ЕНТ","Всемирная история","Дүниежүзі тарихы","World History"
"interface","subjects","subjects.Основы права","названия профильных предметов ЕНТ","Основы права","Құқық негіздері","Basics of Law"
"interface","subjects","subjects.Иностранный язык","названия профильных предметов ЕНТ","Иностранный язык","Шетел тілі","Foreign Language"
"interface","subjects","subjects.Казахский язык","названия профильных предметов ЕНТ","Казахский язык","Қазақ тілі","Kazakh Language"
"interface","subjects","subjects.Казахская литература","названия профильных предметов ЕНТ","Казахская литература","Қазақ әдебиеті","Kazakh Literature"
"interface","subjects","subjects.Русский язык","названия профильных предметов ЕНТ","Русский язык","Орыс тілі","Russian Language"
"interface","subjects","subjects.Русская литература","названия профильных предметов ЕНТ","Русская литература","Орыс әдебиеті","Russian Literature"
"interface","subjects","subjects.Математика","названия профильных предметов ЕНТ","Математика","Математика","Mathematics"
"interface","subjects","subjects.Информатика","названия профильных предметов ЕНТ","Информатика","Информатика","Computer Science"
"interface","subjects","subjects.Физика","названия профильных предметов ЕНТ","Физика","Физика","Physics"
"interface","subjects","subjects.Химия","названия профильных предметов ЕНТ","Химия","Химия","Chemistry"
"interface","subjects","subjects.Творческий экзамен","названия профильных предметов ЕНТ","Творческий экзамен","Шығармашылық емтихан","Creative Exam"
"interface","quotas","quotas.общий.label","льготы / квоты МНВО РК","Общий конкурс","Жалпы конкурс","General competition"
"interface","quotas","quotas.общий.note","льготы / квоты МНВО РК","Стандартный конкурс без льгот","Жеңілдіксіз стандартты конкурс","Standard competition without benefits"
"interface","quotas","quotas.сельская.label","льготы / квоты МНВО РК","Сельская молодёжь","Ауыл жастары","Rural youth"
"interface","quotas","quotas.сельская.note","льготы / квоты МНВО РК","35% всех грантов — самая большая квота","Барлық гранттардың 35%-ы — ең үлкен квота","35% of all grants — the largest quota"
"interface","quotas","quotas.rural_move.label","льготы / квоты МНВО РК","Сельская молодёжь → переселение в приоритетные регионы","Ауыл жастары → басым өңірлерге қоныс аудару","Rural youth → relocation to priority regions"
"interface","quotas","quotas.rural_move.note","льготы / квоты МНВО РК","Переселение в регионы, определённые Правительством РК","ҚР Үкіметі айқындаған өңірлерге қоныс аудару","Relocation to regions defined by the Government of Kazakhstan"
"interface","quotas","quotas.large_family.label","льготы / квоты МНВО РК","Дети из многодетных семей (4+ детей)","Көп балалы отбасылардан (4+ бала)","Children from large families (4+ children)"
"interface","quotas","quotas.large_family.note","льготы / квоты МНВО РК","Семьи, воспитывающие четырёх и более несовершеннолетних","Кәмелетке толмаған төрт және одан көп баланы тәрбиелеп отырған отбасылар","Families raising four or more minor children"
"interface","quotas","quotas.kazakh_diaspora.label","льготы / квоты МНВО РК","Казахи — не граждане РК","Қандас (ҚР азаматтығы жоқ қазақтар)","Ethnic Kazakhs — non-citizens of Kazakhstan"
"interface","quotas","quotas.kazakh_diaspora.note","льготы / квоты МНВО РК","Лица казахской национальности, не являющиеся гражданами РК","ҚР азаматтары емес қазақ ұлтының өкілдері","Ethnic Kazakhs who are not citizens of Kazakhstan"
"interface","quotas","quotas.disability_self.label","льготы / квоты МНВО РК","Инвалидность I или II группы / с детства","I немесе II топ мүгедектігі / бала кезінен","Disability group I or II / since childhood"
"interface","quotas","quotas.disability_self.note","льготы / квоты МНВО РК","Граждане с инвалидностью I или II группы","I немесе II топтағы мүгедектігі бар азаматтар","Citizens with disability of group I or II"
"interface","quotas","quotas.disability_family.label","льготы / квоты МНВО РК","Семья, воспитывающая ребёнка-инвалида","Мүгедек баланы тәрбиелеп отырған отбасы","Family raising a child with disabilities"
"interface","quotas","quotas.disability_family.note","льготы / квоты МНВО РК","Дети из семей, воспитывающих детей с инвалидностью","Мүгедек баланы тәрбиелеп отырған отбасылардан","Children from families raising children with disabilities"
"interface","quotas","quotas.orphan.label","льготы / квоты МНВО РК","Дети-сироты / без попечения родителей","Жетім балалар / ата-ана қамқорлығынсыз","Orphans / without parental care"
"interface","quotas","quotas.orphan.note","льготы / квоты МНВО РК","Дети-сироты и дети, оставшиеся без попечения родителей","Жетім балалар және ата-ана қамқорлығынсыз қалған балалар","Orphans and children left without parental care"
"interface","quotas","quotas.single_parent.label","льготы / квоты МНВО РК","Дети из неполных семей (статус ≥3 лет)","Толық емес отбасылардан (мәртебесі ≥3 жыл)","Children from single-parent families (status ≥3 years)"
"interface","quotas","quotas.single_parent.note","льготы / квоты МНВО РК","Дети из неполных семей, имеющих данный статус не менее трёх лет","Кемінде 3 жыл мәртебесі бар толық емес отбасылардан","Children from single-parent families with the status for at least 3 years"
"interface","quotas","quotas.veteran.label","льготы / квоты МНВО РК","Ветераны боевых действий","Жауынгерлік іс-қимылдар ардагерлері","Combat veterans"
"interface","quotas","quotas.veteran.note","льготы / квоты МНВО РК","Ветераны боевых действий на территории других государств","Басқа мемлекеттер аумағындағы жауынгерлік іс-қимылдар ардагерлері","Veterans of combat operations on the territory of other states"
"interface","result","result.title","панель результатов расчёта","Результаты расчёта","Есептеу нәтижелері","Calculation results"
"interface","result","result.score","панель результатов расчёта","Балл","Балл","Score"
"interface","result","result.found","панель результатов расчёта","Найдено","Табылды","Found"
"interface","result","result.highChance","панель результатов расчёта","Шанс ≥50%","Мүмкіндік ≥50%","Chance ≥50%"
